,text,vin
0,"i think also  is a defacto waiting room, but the more general the merrier!  model 3 lr, black interior, midnight silver exterior order date: 08/11 vin / edd: n/a location: nsw",0
1,"yeah, definitely planning on doing that. i'm also spending way too much time on the tesla forums on whirlpool, and he mentioned to me there that until you have a vin there's no benefit.",0
2,i ordered on the same day with the same colors. the only difference mine is lr. i wonder who is going to get vin first,0
3,"i would expect to first see a hidden vin in the first weeks of january (use the  if you don't have it already) - once you have a car allocated presumably then the slightly more specific dates start appearing, and from what i hear shifting around all the time until much closer to delivery.   i'm sure the next few months will fly by, but man it would've been nice to have the new car over the summer break! whenever it comes there'll be plenty of time to enjoy it i guess.   but we're not on these forums to be patiently waiting, we're here to speculate and second guess and try to will our cars into coming sooner! ",0
4,"just the ""blank"" rego papers, or complete ones with vin etc? i got the former the day i ordered, but not sure what the benefit is for them having half complete rego papers? maybe they can fill in the rest once i have paid and i don't have to do it again.",0
5,"woo! i just got a call from my sa, there was a cancellation and i'm getting a car on the 29th. i could've had it this week (23-24th) but with family christmas stuff that was going to be too complicated so i sacrificed a few days.  (order date was 8/11 - m3 lr, msm/black interior)  edit: i have a delivery date and hidden vin in my account page now.. it's really happening! feels so weird to go from a generic blank page with no estimate to that in the span of an hour.",1
6,wohoo~ congrats mate.  hope few more cancellation pop up   curious to know have you had vin matched before the cancellation reallocation ?,0
7,"no, because i was literally doing my daily check of my account page (yeah, i'm a tragic) when the sa called - she asked if i wanted it this year, or to wait for a 2022 build - i did ask if there was any difference, seeing if she's say anything about the computer, but she just said it's already got the new battery pack going into the '22 models. of course i accepted her offer. she then negotiated the delivery appointment with me via sms after that, and said that she'll get the match sorted out once we'd settled on a date/time. took another 15-30 minutes or so before the delivery appt and hidden vin appeared in my account (i was refreshing every 5-10 min at that point..). no final invoice yet, will see when that comes through.",0
8,"hi all - 1st post  model 3 lr, black interior, midnight silver exterior order date: 16/12 vin / edd: n/a location: gold coast",0
9,"i ordered 10/10/21 and it was showing 1-3 weeks at that time, when i got a vin it changed to 2-6 weeks and it ended up actually being 5 weeks from order.",1
10,"i contacted the sales adviser in late nov and was told;   - january vin assignment  - hopefully february delivery  then first week in dec was told;  - early next year vin assignment  so i am not hopeful. i have waited for custom order audis before, and that was a 6 month plus wait so it is what it is. itâ€™s not as if i would change to any other car anyway   fingers crossed they over deliver. it would be a very positive customer experience them hitting the 8-12 week estimate i was originally provided. so that is key[card]s in hand jan 11 to feb 8.",0
